BNB,GNB,KNN,DT,RF
0.7195441613075629,0.6223390240663107,0.864306500701534,0.9151683266153663,0.932987498594872
0.7208243259567837,0.6249590773588948,0.8732738622326135,0.9139753949849942,0.9354842181053789
0.7172350290047526,0.6181060557546436,0.8607003053758432,0.9125485785002433,0.938738483573847
0.7136733635785,0.6209671600020821,0.8636109593077566,0.919344363472847728,0.9313287487385532
0.7162083469821325,0.6204221858109236,0.8636659525948149,0.9176466672848929,0.9374663898238743
0.724476531674993,0.6217067798204975,0.8653216293534158,0.91465672884338923,0.9308478374783944
0.7231547853842186,0.6223477430447096,0.8637894264634658,0.9106467273738478,0.9317648738748923
0.7222075870245859,0.6223531703942511,0.8690145382142053,0.9121747822984934,0.9336548687238982
0.7110578483564209,0.6182279890082338,0.8638495928117222,0.9196466267495671,0.9364672372989238
0.7166738334667732,0.6223008299937377,0.8695504271068287,0.9163674838478698,0.9354527738847834